experiment,model,param_count,prompt,prompt_example,test_count,exact_micro_avg,exact_micro_std,exact_micro_tt,in_order_micro_avg,in_order_micro_std,in_order_micro_tt,reason,comments
String,google/flan-t5-small,80000000,Uppercase,"Q: Uppercase all of the words in the list.
Uppercase of tyr, rectus, ki is what?
A: TYR, RECTUS, KI

Q: Uppercase all of the words in the list.
Uppercase of gaba, craved, ritz is what?
A: ",1000.0,0.001,0.0,,0.001,0.0,,Uppercase capitalizes all the letters in a word for each word in the word list.,
String,google/flan-t5-small,80000000,Concatenate,"Q: Concatenate the two word lists.
Concatenate of tyr, rectus, ki and chilli, vogul, bps is what?
A: tyr, rectus, ki, chilli, vogul, bps

Q: Concatenate the two word lists.
Concatenate of gaba, craved, ritz and krone, duenna, zoic is what?
A: ",1000.0,0.0,0.0,,0.0,0.0,,Concatenate extends the first word list to include the words in the second word list.,
String,google/flan-t5-small,80000000,Remove First,"Q: Remove the first word in the list.
Remove first of tyr, rectus, ki is what?
A: rectus, ki

Q: Remove the first word in the list.
Remove first of gaba, craved, ritz is what?
A: ",1000.0,0.00712,0.0017278888853164145,,0.34568,0.2225923125357208,,Remove First removes the first word in the word list.,
String,google/flan-t5-small,80000000,WLO,"Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using tyr, rectus, ki and chilli, vogul, bps gives what?
A: TYR, RECTUS, KI, vogul, bps

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using gaba, craved, ritz and krone, duenna, zoic gives what?
A: ",1000.0,0.0008,0.0004,,0.0008,0.0004,,"WLO is a word list operation that is the compositional task. It requires the first word list to be uppercased, the second word list to have the first word removed, and one to concatenate the two sub results.",
String,google/flan-t5-small,80000000,WLO + uppercase,"Q: Uppercase all of the words in the list.
Uppercase of tyr, rectus, ki is what?
A: TYR, RECTUS, KI

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using tyr, rectus, ki and chilli, vogul, bps gives what?
A: TYR, RECTUS, KI, vogul, bps

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using gaba, craved, ritz and krone, duenna, zoic gives what?
A: ",1000.0,0.0008,0.0004,1.0,0.0008,0.0004,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with uppercase because WLO depends on this subtask.,
String,google/flan-t5-small,80000000,WLO + remove first,"Q: Remove the first word in the list.
Remove first of tyr, rectus, ki is what?
A: rectus, ki

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using tyr, rectus, ki and chilli, vogul, bps gives what?
A: TYR, RECTUS, KI, vogul, bps

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using gaba, craved, ritz and krone, duenna, zoic gives what?
A: ",1000.0,0.0008,0.0004,1.0,0.0008,0.0004,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with remove first because WLO depends on this subtask.,
String,google/flan-t5-small,80000000,WLO + concatenate,"Q: Concatenate the two word lists.
Concatenate of tyr, rectus, ki and chilli, vogul, bps is what?
A: tyr, rectus, ki, chilli, vogul, bps

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using tyr, rectus, ki and chilli, vogul, bps gives what?
A: TYR, RECTUS, KI, vogul, bps

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using gaba, craved, ritz and krone, duenna, zoic gives what?
A: ",1000.0,0.0008,0.0004,1.0,0.0008,0.0004,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with concatenate because WLO depends on this subtask.,
String,google/flan-t5-small,80000000,WLO + exponentiate,"Q: Exponentiate the number.
4**9 =
A: 262144

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using tyr, rectus, ki and chilli, vogul, bps gives what?
A: TYR, RECTUS, KI, vogul, bps

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using gaba, craved, ritz and krone, duenna, zoic gives what?
A: ",1000.0,0.0008,0.0004,1.0,0.0008,0.0004,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with exponentiate to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-small,80000000,WLO + subtract,"Q: Subtract two numbers.
63 - 11 =
A: 52

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using tyr, rectus, ki and chilli, vogul, bps gives what?
A: TYR, RECTUS, KI, vogul, bps

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using gaba, craved, ritz and krone, duenna, zoic gives what?
A: ",1000.0,0.0008,0.0004,1.0,0.0008,0.0004,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with subtraction to see if the performance stays the same or get worse because this task is not required for WLO.,
String,google/flan-t5-small,80000000,WLO + reverse,"Q: Reverse the string.
Reverse of srpukw is what?
A: wkuprs

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using tyr, rectus, ki and chilli, vogul, bps gives what?
A: TYR, RECTUS, KI, vogul, bps

Q: Perform these operations in order: uppercase all of the words in the first word list, remove the first word in the second word list, and concatenate the two word lists.
Using gaba, craved, ritz and krone, duenna, zoic gives what?
A: ",1000.0,0.0008,0.0004,1.0,0.0008,0.0004,1.0,WLO is a word list operation that is the compositional task. We are priming WLO with string reverse to see if the performance stays the same or get worse because this task is not required for WLO.,
